"control_id","control_name","baseline","control_description","supplemental_guidance","purpose","scope","applicability","miscellaneous","section_header","source_file","extraction_source","compliance_date","published_url"
"CFG01.001","Security Baseline Development","","The organization shall develop and maintain security configuration baselines for all system types (servers, workstations, network devices) based on CIS Benchmarks or DISA STIGs.","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG01.002","Baseline Review Cycle","","Configuration baselines shall be reviewed and updated at least annually or when significant changes occur to the threat landscape. See the Continuous Monitoring Policy for threat assessment frequency.","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG2.001","Change Control Process","","All configuration changes shall be submitted through the change advisory board (CAB) process. Emergency changes require post-implementation review within 48 hours.","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG02.002","Change Impact Analysis","","Configuration changes shall include a documented security impact analysis prior to approval. Refer to Section 4 of this document for the impact analysis template.","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG03.001","Automated Configuration Scanning","","Systems shall be scanned for configuration compliance at least weekly using automated tools. Non-compliant systems shall be flagged for remediation.","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG03.002","Configuration Drift Detection","","The organization shall deploy automated drift detection that alerts when system configurations deviate from the approved baseline.","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG04.001","Software Inventory Management","","The organization shall maintain an automated inventory of all installed software. Unauthorized software shall be removed within 72 hours of detection.","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG04.002","Application Whitelisting","","Critical systems shall implement application whitelisting to prevent execution of unauthorized software. As previously stated, unauthorized software must be removed within 72 hours.","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"MON03.001","FISMA Metrics Collection","L,M,H","The ISSO shall collect and report the six FISMA CIO metrics monthly: vulnerability management, identity management, data protection, network security, secure software lifecycle, and configuration management. Metric definitions and data sources are documented in Appendix D. See control MOO01.123 (L, M)","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all made-up organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. Blah Blah Blah. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program. Refer to appendix A for more info.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","","Continuous_Monitoring_Policy-MON-2026.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON03.002","ATO Status Reporting","","System owners shall provide ATO status updates to the CISO quarterly. Updates shall include current POA&M count by severity, AGC04.030 (Fake) upcoming reauthorization dates, and any changes to the authorization boundary. The CISO brief template is in Appendix D, Section 3.","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all made-up organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. Blah Blah Blah. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program. Refer to appendix A for more info.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","","Continuous_Monitoring_Policy-MON-2026.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON04.001","CDM Dashboard Integration","L","Systems covered by the CDM program shall have hardware, software, and vulnerability data integrated with the CDM agency dashboard. CDM data feeds shall be validated weekly by the Security Engineering team. Gaps in CDM data completeness shall be reported to CISA per agency CDM program requirements.","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all made-up organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. Blah Blah Blah. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program. Refer to appendix A for more info.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","","Continuous_Monitoring_Policy-MON-2026.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON04.002","Security Metrics Trending","","The ISSO shall produce a monthly trend report comparing current metrics to the prior 3-month baseline. Reports shall identify degrading metrics and proposed corrective actions. Reports shall be retained in SharePoint under the Monitoring Records folder per the document retention schedule in Appendix D, Section 4.","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all made-up organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. Blah Blah Blah. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program. Refer to appendix A for more info.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","","Continuous_Monitoring_Policy-MON-2026.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON05.001","Continuous External Attack Surface Monitoring","L,M,H","Internet-facing systems shall be enrolled in an automated attack surface monitoring service that performs daily external enumeration. Newly discovered assets or open ports not in the approved inventory shall generate a P2 alert. Tool and integration requirements are maintained by the Security Engineering team.","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all made-up organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. Blah Blah Blah. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program. Refer to appendix A for more info.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","","Continuous_Monitoring_Policy-MON-2026.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON05.002","Penetration Testing Frequency","","Internet-facing systems shall undergo penetration testing annually at minimum by a qualified independent tester. Web application penetration testing shall use OWASP methodology. Findings shall be entered as POA&M items within 5 business days per RMP03.001. Pentest reports shall be retained for 3 years.","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all made-up organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. Blah Blah Blah. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program. Refer to appendix A for more info.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","","Continuous_Monitoring_Policy-MON-2026.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON01.001","Authenticated Vulnerability Scanning","L,M,H","Requirement: All systems shall undergo authenticated vulnerability scanning at minimum weekly for internet-facing systems and bi-weekly for internal systems. Scanning shall use an approved tool from Appendix B. Scans shall be credentialed to ensure complete coverage of installed software and configurations. Unauthenticated scans are not sufficient to satisfy this control. Scan schedules shall be documented in the system security plan (SSP). NIST Mapping: RA-5, RA-5(5) Status: Implemented Owner: Security Operations","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all made-up organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. Blah Blah Blah. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program. Refer to appendix A for more info.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","Section 3 - Vulnerability Management Controls","Continuous_Monitoring_Policy-MON-2026.docx","Text","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON01.002","Vulnerability Remediation SLAs","L,M,H","Requirement: Identified vulnerabilities shall be remediated within the following SLAs based on CVSS score: Critical (CVSS 9.0-10.0) within 15 calendar days; High (CVSS 7.0-8.9) within 30 days; Medium (CVSS 4.0-6.9) within 90 days; Low (CVSS 0.1-3.9) within 180 days. Exceptions require ISSM approval and a compensating control documented in a POA&M entry per the Risk Management Policy, RMP03.001. See Appendix A for the severity matrix. NIST Mapping: RA-5(6), SI-2 Status: Implemented Owner: System Owners / Security Ops","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all made-up organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. Blah Blah Blah. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program. Refer to appendix A for more info.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","Section 3 - Vulnerability Management Controls","Continuous_Monitoring_Policy-MON-2026.docx","Text","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
